Date;Symbol;Clos
2024-02-22;ADSK;256.98
2024-02-23;ADSK;257.2
2024-02-26;ADSK;257.35
2024-02-27;ADSK;256.95
2024-02-28;ADSK;255.25
2024-02-29;ADSK;258.17
2024-03-01;ADSK;264.74
2024-03-04;ADSK;260.7
2024-03-05;ADSK;247.29
2024-03-06;ADSK;251.1
2024-03-07;ADSK;253.84
2024-03-08;ADSK;251.86
2024-03-11;ADSK;258.26
2024-03-12;ADSK;262.78
2024-03-13;ADSK;258.7
2024-03-14;ADSK;258.53
2024-03-15;ADSK;254.24
2024-03-18;ADSK;255.18
2024-03-19;ADSK;256.19
2024-03-20;ADSK;262.43
2024-03-21;ADSK;265.75
2024-03-22;ADSK;262.86
2024-03-25;ADSK;261.57
2024-03-26;ADSK;261.67
2024-03-27;ADSK;260.97
2024-03-28;ADSK;260.42
2024-01-02;AEE;72.64
2024-01-03;AEE;72.32
2024-01-04;AEE;72.55
2024-01-05;AEE;72.69
2024-01-08;AEE;73.29
2024-01-09;AEE;72.66
2024-01-10;AEE;72.42
2024-01-11;AEE;70.87
2024-01-12;AEE;70.57
2024-01-16;AEE;69.9
2024-01-17;AEE;69.03
2024-01-18;AEE;68.33
2024-01-19;AEE;68.01
2024-01-22;AEE;67.58
2024-01-23;AEE;67.75
2024-01-24;AEE;67.1
2024-01-25;AEE;68.4
2024-01-26;AEE;68.23
2024-01-29;AEE;68.51
2024-01-30;AEE;68.74
2024-01-31;AEE;68.29
2024-02-01;AEE;69.4
2024-02-02;AEE;68.13
2024-02-05;AEE;66.72
2024-02-06;AEE;67.12
2024-02-07;AEE;67.43
2024-02-08;AEE;66.67
2024-02-09;AEE;67.44
2024-02-12;AEE;67.9
2024-02-13;AEE;67.01
2024-02-14;AEE;67.35
2024-02-15;AEE;68.26
2024-02-16;AEE;68.23
2024-02-20;AEE;68.59
2024-02-21;AEE;70.09
2024-02-22;AEE;69.51
2024-02-23;AEE;70.28
2024-02-26;AEE;69.53
2024-02-27;AEE;70.01
2024-02-28;AEE;70.18
2024-02-29;AEE;69.88
2024-03-01;AEE;70.01
2024-03-04;AEE;71.33
2024-03-05;AEE;70.79
2024-03-06;AEE;71.78
2024-03-07;AEE;71.74
2024-03-08;AEE;71.67
2024-03-11;AEE;72.3
2024-03-12;AEE;71.64
2024-03-13;AEE;71.72
2024-03-14;AEE;70.71
2024-03-15;AEE;70.91
2024-03-18;AEE;71.3
2024-03-19;AEE;71.43
2024-03-20;AEE;71.37
2024-03-21;AEE;71.13
2024-03-22;AEE;71.01
2024-03-25;AEE;70.77
2024-03-26;AEE;70.3
2024-03-27;AEE;72.46
2024-03-28;AEE;73.27
2024-01-02;AEP;81.43
